sourceID,reportingCompany,companyId,contribEmail,reportingCountry,sourceURL,timeSourceAdded,sourceAddType,format,timeSourceScraped,scraped,reportStartDate,reportEndDate,fiscalYear,reportCurrency,currencyMultiplier,nonCurrencyPayment,review,sourceAddedBy,sourcePublishDate,reason
LjrkL,Antofagasta plc,NA,hsubhash@resourcegovernance.org,United Kingdom,https://extractives.companieshouse.gov.uk/company/01627889/year/2015/version/1/zip,8/30/17 13:13,CoHo Api,API,8/30/17 13:13,yes,1/1/15,12/31/15,NA,USD,1,NA,NA,hsubhash@resourcegovernance.org,11/25/16,NA
X8pxX,Apache Finance Canada Corporation,NA,elliot.kt.tan@gmail.com,Canada,http://www.apachecorp.com/Resources/Upload/file/Canada/Apache_Canada_ESTMA_Report_2016.pdf,6/7/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/30/17,NA
LQYqL,Apache North Sea Production Limited,NA,hsubhash@resourcegovernance.org,United Kingdom,https://extractives.companieshouse.gov.uk/company/07720972/year/2015/version/1/zip,8/30/17 13:13,CoHo Api,API,8/30/17 13:13,yes,1/1/15,12/31/15,NA,GBP,1,NA,NA,hsubhash@resourcegovernance.org,1/17/17,NA
L127A,Apache North Sea Production Limited,NA,hsubhash@resourcegovernance.org,United Kingdom,https://extractives.companieshouse.gov.uk/company/07720972/year/2015/version/1/zip,8/30/17 13:13,CoHo Api,API,8/30/17 13:13,yes,1/1/15,12/31/15,NA,GBP,1,NA,NA,hsubhash@resourcegovernance.org,1/17/17,NA
XBDqL,ARC Resources Ltd.,NA,elliot.kt.tan@gmail.com,Canada,http://www.arcresources.com/assets/pdfs/documents/ESTMA/ARC_Resources_Ltd._2016_Annual_ESTMA_Report.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/3/17,NA
AMk2Z,Arena Minerals Inc.,NA,elliot.kt.tan@gmail.com,Canada,http://arenaminerals.com/wp-content/uploads/Arena_Minerals_ESTMAReporting_12-31-2016.xlsx,6/5/17,ESTMA scraper,XLS,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/30/17,NA
JLoNZ,AREVA Resources Canada Inc.,NA,elliot.kt.tan@gmail.com,Canada,http://mining.areva.com/canada/liblocal/docs/Information/Regulatory-Documents/ESTMA_Reporting_2016.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/29/17,NA
Ab1GL,Argonaut Gold Inc.,NA,NA,Canada,http://www.argonautgold.com/_resources/financials/2016-ESTMA-Report.pdf,8/24/17 16:42,ESTMA Scraper,PDF,NA,yes,NA,NA,NA,NA,NA,NA,NA,hsubhash@resourcegovernance.org,8/2/17,NA
zAYgZ,Arizona Mining Inc.,NA,elliot.kt.tan@gmail.com,Canada,https://arizonamining.com/_resources/estma/AZ-2016-Reporting-for-ESTMA-amended.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/26/17,NA
2AdNZ,Asanko Gold Inc.,NA,elliot.kt.tan@gmail.com,Canada,https://s21.q4cdn.com/214525344/files/doc_downloads/ESTMA-Reporting-Asanko_-2016-FINAL.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/24/17,NA
XyG1L,Asian Mineral Resources Limited,NA,elliot.kt.tan@gmail.com,Canada,http://asianmineralres.com/media/22394/final-estma-asian-mineral-resources-limited-2016.xlsx,6/5/17,ESTMA scraper,XLS,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/24/17,NA
KXN5A,Aspenleaf Energy Limited,NA,elliot.kt.tan@gmail.com,Canada,http://aspenleafenergy.com/wp-content/uploads/2017/05/ESTMAReport-2016-vf.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/23/17,NA
LwaKX,Athabasca Minerals Inc.,NA,elliot.kt.tan@gmail.com,Canada,http://www.athabascaminerals.com/i/pdf/ABM_ESTIMA_12_31_2016.xps,6/20/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/30/17,NA
LQ8PZ,Athabasca Oil Corporation,NA,elliot.kt.tan@gmail.com,Canada,http://www.atha.com/upload/report/71/73d6562c08d2/2016-estma-report---athabasca-oil-corporation.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/29/17,NA
AgnaL,Atico Mining Corporation,NA,elliot.kt.tan@gmail.com,Canada,http://aticomining.com/_resources/corporate-governance/ESTMA-report-2016.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,NA,tmorrison@resourcegovernance.org,5/29/17,resolved
bZ7WZ,Atlantic Gold Corporation,NA,elliot.kt.tan@gmail.com,Canada,http://atlanticgoldcorporation.com/_resources/estma/05-30-2017-AGB-December-31-2016-ESTMA-Report-FINAL.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/30/17,NA
AKeEZ,Aura Minerals Inc.,NA,elliot.kt.tan@gmail.com,Canada,http://s1.q4cdn.com/557075924/files/doc_downloads/2017/2016-Annual-Report-ESTMA-Aura-Mineral.pdf,6/7/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/30/17,NA
Lo59X,AuRico Metals Inc.,NA,elliot.kt.tan@gmail.com,Canada,http://s2.q4cdn.com/215682844/files/doc_downloads/2017/AMI-2016-ESTMA-Report-Final.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/17/17,NA
AxDWA,Aurion Resources Ltd.,NA,elliot.kt.tan@gmail.com,Canada,https://www.aurionresources.com/site/assets/files/1226/estma-report_e009419_2016.pdf,6/20/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/29/17,NA
AKBEL,Auryn Resources Inc.,NA,elliot.kt.tan@gmail.com,Canada,http://www.aurynresources.com/assets/docs/auryn-resources_e418006_20160101_20161231.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/30/17,NA
L9ogX,Auryn Resources Inc.,NA,elliot.kt.tan@gmail.com,Canada,http://www.aurynresources.com/assets/docs/auryn-resources_e418006_01july2015_31dec2015-20161215152520.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,7/1/15,12/31/15,NA,USD,1,FALSE,DATA ERROR sourceId not found in entity table; sourceId not found in project table,tmorrison@resourcegovernance.org,5/27/16,NA
XJ66X,Avino Silver & Gold Mines Ltd.,NA,elliot.kt.tan@gmail.com,Canada,http://www.avino.com/i/pdf/ESTMA-2016.PDF,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/30/17,NA
X8ExZ,Avnel Gold Mining Limited,NA,elliot.kt.tan@gmail.com,Canada,http://avnelgold.com/wp-content/uploads/2014/05/23139986-v4-Avnel-Gold-ESTMA-Updated-Report.xlsx,6/5/17,ESTMA scraper,XLS,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/26/17,NA
AqxJL,Avocet Mining PLC,NA,hsubhash@resourcegovernance.org,United Kingdom,https://extractives.companieshouse.gov.uk/company/03036214/year/2015/version/1/zip,8/30/17 13:13,CoHo Api,API,8/30/17 13:13,yes,1/1/15,12/31/15,NA,USD,1,NA,NA,hsubhash@resourcegovernance.org,11/16/16,NA
XzegA,Avocet Mining PLC,NA,hsubhash@resourcegovernance.org,United Kingdom,https://extractives.companieshouse.gov.uk/company/03036214/year/2015/version/1/zip,8/30/17 13:13,CoHo Api,API,8/30/17 13:13,yes,1/1/15,12/31/15,NA,USD,1,NA,NA,hsubhash@resourcegovernance.org,11/16/16,NA
XJRWX,Avrupa Minerals Ltd.,NA,elliot.kt.tan@gmail.com,Canada,http://www.avrupaminerals.com/_resources/pdfs/AVU_2016_ESTMA_Report_(amended_2017May26).pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/26/17,NA
LmVqA,Azarga Uranium Corp.,NA,elliot.kt.tan@gmail.com,Canada,http://azargauranium.com/wp-content/themes/azargatheme/docs/estma/2016-ESTMA-Reporting.pdf,6/7/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/30/17,NA
ApEaX,B2Gold Corp.,NA,elliot.kt.tan@gmail.com,Canada,http://www.b2gold.com/_resources/ESTMA-B2Gold-2016-Annual-Report.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,NA,tmorrison@resourcegovernance.org,5/25/17,resolved
AbdMZ,Bacanora Minerals Ltd.,NA,elliot.kt.tan@gmail.com,Canada,http://www.bacanoraminerals.com/cms/wp-content/uploads/2017/05/estma-report-v5.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,7/1/15,6/30/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,4/11/17,NA
XBDGL,Baccalieu Energy Inc.,NA,elliot.kt.tan@gmail.com,Canada,https://drive.google.com/file/d/0B04rwQJaiJDGdjIyaUdDT3B5anRuSlBudXRscnoyYndFX3FF/view,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/26/17,NA
LwvKZ,Baffinland Iron Mines Corporation,NA,elliot.kt.tan@gmail.com,Canada,http://www.baffinland.com/downloadocs/baffinland-2016-estma-filing_2017-14-12-11.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/30/17,NA
AvOPX,Bakken Resources Partnership,NA,NA,Canada,http://cfcanada.fticonsulting.com/Lightstream/docs/ESTMA Report 20162.pdf,8/24/17 16:42,ESTMA Scraper,PDF,NA,partial duplicate,NA,NA,NA,NA,NA,NA,NA,hsubhash@resourcegovernance.org,6/9/17,NA
VXzRX,Balmoral Resources Ltd.,NA,elliot.kt.tan@gmail.com,Canada,http://www.balmoralresources.com/assets/docs/2016-estma.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/30/17,NA
4AepL,Banro Corporation,NA,elliot.kt.tan@gmail.com,Canada,https://www.banro.com/assets/docs/2016-estma-report-20170601165138.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/30/17,NA
AOpQX,Barkerville Gold Mines Ltd,NA,elliot.kt.tan@gmail.com,Canada,http://www.barkervillegold.com/assets/docs/ppt/estma-reporting-2016-v2.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,DATA ERROR sourceId not found in project table,tmorrison@resourcegovernance.org,5/30/17,NA
Ak36A,Barrick Gold Corporation,NA,elliot.kt.tan@gmail.com,Canada,http://www.barrick.com/files/reporting/Barrick-2016-Extractive-Sector-Transparency-Measures-Act-Report.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/23/17,NA
ZlrpA,Baytex Energy Corp.,NA,elliot.kt.tan@gmail.com,Canada,http://www.baytexenergy.com/files/pdf/ESTMA/2016%20ESTMA%20Report.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,DATA ERROR 7 entity names found in project names (in general),tmorrison@resourcegovernance.org,5/26/17,NA
LQ4zZ,Bear Creek Mining Corporation,NA,elliot.kt.tan@gmail.com,Canada,http://www.bearcreekmining.com/i/pdf/2016-ESTMA.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/8/17,NA
WZW9A,Bellatrix Exploration Ltd.,NA,elliot.kt.tan@gmail.com,Canada,https://s3.amazonaws.com/filecache.drivetheweb.com/mr5ircnw_bellatrixexploration/293/BXE+2017+ESTMA+Report.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/29/17,NA
