sourceID,projectCountry,reportingCompany,projectName,paymentType,reportYear,projectPayment,totPay,proportionPay,sourceURL,reportingCountry
src_nAM6QX,Australia,Cnooc Limited,North West Shelf,Royalties,2016,10670514.944400001,34901162.42040001,0.30573523070288916,http://www.cnoocltd.com/jcms/jcms_files/jcms1/web5/site/attach/0/1705261738577119669.pdf,Canada
src_nAM6QX,Australia,Cnooc Limited,North West Shelf,Taxes,2016,24230647.476000004,34901162.42040001,0.6942647692971108,http://www.cnoocltd.com/jcms/jcms_files/jcms1/web5/site/attach/0/1705261738577119669.pdf,Canada
src_oXD66L,Australia,Kirkland Lake Gold Ltd,Fosterville,Taxes,2016,15e5,15e5,1,http://s21.q4cdn.com/967674075/files/doc_downloads/technical_reports/2017/ESTMA-2016-Kirkland-Lake-Gold-Ltd..pdf,Canada
src_1AV7dX,Australia,Rio Tinto Plc,Hail Creek,Fees,2015,3863400,-10440481,-0.3700404224671258,https://extractives.companieshouse.gov.uk/company/00719885/year/2015/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_PXJnwX,Australia,Rio Tinto Plc,Hail Creek,Fees,2016,3105559,114609209,0.0270969412239814,https://extractives.companieshouse.gov.uk/company/00719885/year/2016/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_1AV7dX,Australia,Rio Tinto Plc,Hail Creek,Royalties,2015,66769590,-10440481,-6.395259950188119,https://extractives.companieshouse.gov.uk/company/00719885/year/2015/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_PXJnwX,Australia,Rio Tinto Plc,Hail Creek,Royalties,2016,51437751,114609209,0.4488099294010484,https://extractives.companieshouse.gov.uk/company/00719885/year/2016/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_1AV7dX,Australia,Rio Tinto Plc,Hail Creek,Taxes,2015,-81073471,-10440481,7.765300372655244,https://extractives.companieshouse.gov.uk/company/00719885/year/2015/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_PXJnwX,Australia,Rio Tinto Plc,Hail Creek,Taxes,2016,60065899,114609209,0.5240931293749702,https://extractives.companieshouse.gov.uk/company/00719885/year/2016/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_EXBBQX,Australia,Royal Dutch Shell Plc,North West Shelf,Royalties,2015,120230627,120230627,1,https://extractives.companieshouse.gov.uk/company/04366849/year/2015/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_pLwgPL,Australia,Royal Dutch Shell Plc,North West Shelf,Royalties,2016,82553608,82553608,1,https://extractives.companieshouse.gov.uk/company/04366849/year/2016/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_JLoNNZ,Azerbaijan,Bp Plc,Shah Deniz,Production entitlements,2015,825367758,904205464,0.9128099650590035,https://extractives.companieshouse.gov.uk/company/00102498/year/2015/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_JLoNNZ,Azerbaijan,Bp Plc,Shah Deniz,Taxes,2015,78837706,904205464,0.08719003494099656,https://extractives.companieshouse.gov.uk/company/00102498/year/2015/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_1L93oX,Azerbaijan,Statoil,Shah Deniz,Production entitlements,2015,21237118.921044547,21237118.921044547,1,https://www.statoil.com/content/dam/statoil/documents/annual-reports/2015/statoil-2015-payments-to-governments.pdf,Norway
src_BLmGaX,Azerbaijan,Total Sa,Shah Deniz,Taxes,2015,162e4,162e4,1,http://www.total.com/sites/default/files/atoms/files/registration_document_2015.pdf,United Kingdom of Great Britain and Northern Ireland
src_aAOvLv,Brazil,Anglo American Plc,Chapadao,Fees,2016,1673,1673,1,https://extractives.companieshouse.gov.uk/company/03564138/year/2016/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_dAg1WZ,Brazil,Euro Sun Mining Inc,Riacho Dos Machados,Royalties,2016,158442.77778,158442.77778,1,http://eurosunmining.com/_resources/financials/ESTMA_Euro_Sun_2016.pdf,Canada
src_pLwgPL,Brazil,Royal Dutch Shell Plc,Barreirinhas,Fees,2016,779034,779034,1,https://extractives.companieshouse.gov.uk/company/04366849/year/2016/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_WZWJaX,Brazil,Total Sa,Barreirinhas,Fees,2016,43e3,43e3,1,https://www.total.com/sites/default/files/atoms/files/ddr2016_va_web.pdf,United Kingdom of Great Britain and Northern Ireland
src_zAYg6Z,Brazil,Yamana Gold Inc,Chapadao,Fees,2016,709220.05292,28097185.926319998,0.02524167561761547,http://s2.q4cdn.com/271094385/files/doc_downloads/CSR/2017NewFolder/YRI-Extractive-Sector-Transparency-Measures-Act-(ESTMA)-2016.pdf,Canada
src_zAYg6Z,Brazil,Yamana Gold Inc,Chapadao,Taxes,2016,27387965.8734,28097185.926319998,0.9747583243823845,http://s2.q4cdn.com/271094385/files/doc_downloads/CSR/2017NewFolder/YRI-Extractive-Sector-Transparency-Measures-Act-(ESTMA)-2016.pdf,Canada
src_zAYg6Z,Brazil,Yamana Gold Inc,Riacho Dos Machados,Fees,2016,422514.07408,422514.07408,1,http://s2.q4cdn.com/271094385/files/doc_downloads/CSR/2017NewFolder/YRI-Extractive-Sector-Transparency-Measures-Act-(ESTMA)-2016.pdf,Canada
src_KXN5AO,Canada,Altura Energy Inc,Leduc Woodbend 070405126w4,Bonuses,2016,950656.66668,1130225.1481640001,0.8411214953271027,http://docs.wixstatic.com/ugd/d63ee4_3f979ea0bb2a47269f5e90efaf4db909.pdf,Canada
src_KXN5AO,Canada,Altura Energy Inc,Leduc Woodbend 070405126w4,Fees,2016,179568.48148400002,1130225.1481640001,0.1588785046728972,http://docs.wixstatic.com/ugd/d63ee4_3f979ea0bb2a47269f5e90efaf4db909.pdf,Canada
src_nAMlLd,Canada,Arc Resources Ltd,Pembina,Fees,2016,1433529.8942,12939493.5187,0.11078717201166181,http://www.arcresources.com/assets/pdfs/documents/ESTMA/ARC_Resources_Ltd._2016_Annual_ESTMA_Report.pdf,Canada
src_nAMlLd,Canada,Arc Resources Ltd,Pembina,Royalties,2016,7054476.058300001,12939493.5187,0.5451895043731779,http://www.arcresources.com/assets/pdfs/documents/ESTMA/ARC_Resources_Ltd._2016_Annual_ESTMA_Report.pdf,Canada
src_nAMlLd,Canada,Arc Resources Ltd,Pembina,Taxes,2016,4451487.5662,12939493.5187,0.34402332361516036,http://www.arcresources.com/assets/pdfs/documents/ESTMA/ARC_Resources_Ltd._2016_Annual_ESTMA_Report.pdf,Canada
src_nAMlLd,Canada,Arc Resources Ltd,Southeast Saskatchewan,Fees,2016,565867.0635,13263923.96844,0.042662116040955635,http://www.arcresources.com/assets/pdfs/documents/ESTMA/ARC_Resources_Ltd._2016_Annual_ESTMA_Report.pdf,Canada
src_nAMlLd,Canada,Arc Resources Ltd,Southeast Saskatchewan,Royalties,2016,8827526.1906,13263923.96844,0.6655290102389079,http://www.arcresources.com/assets/pdfs/documents/ESTMA/ARC_Resources_Ltd._2016_Annual_ESTMA_Report.pdf,Canada
src_nAMlLd,Canada,Arc Resources Ltd,Southeast Saskatchewan,Taxes,2016,3870530.71434,13263923.96844,0.29180887372013653,http://www.arcresources.com/assets/pdfs/documents/ESTMA/ARC_Resources_Ltd._2016_Annual_ESTMA_Report.pdf,Canada
src_oAvWX1,Canada,Areva Resources Canada Inc,Mcclean Lake,Fees,2016,1456164.57674,2633168.06882,0.5530085959885386,http://mining.areva.com/canada/liblocal/docs/Information/Regulatory-Documents/ESTMA_Reporting_2016.pdf,Canada
src_oAvWX1,Canada,Areva Resources Canada Inc,Mcclean Lake,Payments for infrastructure improvements,2016,294250.87302,2633168.06882,0.11174785100286533,http://mining.areva.com/canada/liblocal/docs/Information/Regulatory-Documents/ESTMA_Reporting_2016.pdf,Canada
src_oAvWX1,Canada,Areva Resources Canada Inc,Mcclean Lake,Taxes,2016,882752.61906,2633168.06882,0.335243553008596,http://mining.areva.com/canada/liblocal/docs/Information/Regulatory-Documents/ESTMA_Reporting_2016.pdf,Canada
src_PXJ66X,Canada,Aspenleaf Energy Limited,Swan Hills,Fees,2016,407424.28572,7658067.5927,0.053201970443349754,http://aspenleafenergy.com/wp-content/uploads/2017/05/ESTMAReport-2016-vf.pdf,Canada
src_PXJ66X,Canada,Aspenleaf Energy Limited,Swan Hills,Royalties,2016,6126454.07416,7658067.5927,0.8,http://aspenleafenergy.com/wp-content/uploads/2017/05/ESTMAReport-2016-vf.pdf,Canada
src_PXJ66X,Canada,Aspenleaf Energy Limited,Swan Hills,Taxes,2016,1124189.23282,7658067.5927,0.14679802955665025,http://aspenleafenergy.com/wp-content/uploads/2017/05/ESTMAReport-2016-vf.pdf,Canada
src_dAggYA,Canada,Athabasca Oil Corporation,Fox Creek,Bonuses,2016,316885.55556,3010412.77782,0.10526315789473685,http://www.atha.com/upload/report/71/73d6562c08d2/2016-estma-report---athabasca-oil-corporation.pdf,Canada
src_dAggYA,Canada,Athabasca Oil Corporation,Fox Creek,Fees,2016,543232.38096,3010412.77782,0.18045112781954886,http://www.atha.com/upload/report/71/73d6562c08d2/2016-estma-report---athabasca-oil-corporation.pdf,Canada
src_dAggYA,Canada,Athabasca Oil Corporation,Fox Creek,Royalties,2016,762034.31218,3010412.77782,0.2531328320802005,http://www.atha.com/upload/report/71/73d6562c08d2/2016-estma-report---athabasca-oil-corporation.pdf,Canada
src_dAggYA,Canada,Athabasca Oil Corporation,Fox Creek,Taxes,2016,1388260.52912,3010412.77782,0.4611528822055138,http://www.atha.com/upload/report/71/73d6562c08d2/2016-estma-report---athabasca-oil-corporation.pdf,Canada
