propertyName,country,commodity,typeOfWork,status,extentOfProcessing,bestReserveAvailable,reservesTonnes000Units,reserveGrade,reserveGradeUnit,currentProduction,currentProductionUnit,expectedYearlyProductionAtFullCapacity,expectedProductionAtFullCapacityUnit,lifeOfMineYears,projectInceptionYear,projectCompletionYear,companyName,expectedInvestmentMm,probabilityToMoveToInvestmentBy2020,powerSourcingArrangementOrRelationshipBetweenMineAndGrid,sourceOfPower,energyConsumptionKwhTProduct,annualEnergyConsumptionMwh,energyNeedsMw,shareholdingCode,mineLocation,locationNotes,region,tariffPublicUtility,costRelativity,gridEnergySource,gridReliability,source,notes,reference,projectsPre2000,projects20012012,projects2020,repeats
Kov (Katanga),"Congo, Dem. Rep. of",Cobalt,Open-Pit,Producer,intermediate,Indicated Reserves,117200,0.42,%,600,tons,17000,tons,62,2008,2030,"Katanga Mining Limited (75%), Gecamines (25%)",NA,high,Mines invest in the grid,On-Grid,6500,110500,11.51,Joint- venture with State Equity,"(-10.7, 25.4166667)",NA,CA,4.7,equal tariff,Mainly Hydro Powered Generation,150 to 200 days,Infomine,First run 1960-2000. Co-invests with Société Nationale d’Electricité (SNEL) to increase power availability as well as refurburish hydroelectric facility in Katanga Province by 2015,"Infomine, Company Website",No,Yes,Yes,TRUE
Kov (Katanga),"Congo, Dem. Rep. of",Copper,Open-Pit,Producer,intermediate,Indicated Reserves,117200,5.41,%,23700,tons,200000,tons,62,2008,2030,"Katanga Mining Limited (75%), Gecamines (25%)",NA,high,Mines invest in the grid,On-Grid,5000,1000000,104.17,Joint- venture with State Equity,"(-10.7, 25.4166667)",NA,CA,4.7,equal tariff,Mainly Hydro Powered Generation,150 to 200 days,Infomine,First run 1960-2000. Co-invests with Société Nationale d’Electricité (SNEL) to increase power availability as well as refurburish hydroelectric facility in Katanga Province by 2015,"Infomine, Company Website",No,Yes,Yes,TRUE
Mutanda,"Congo, Dem. Rep. of",Cobalt,Open-Pit,Producer,intermediate,Proven Reserves,47176,0.9,%,6880,tons,23000,tons,20,2010,2030,"Samref Congo Sprl (80%) (Glencore Majority Stakeholder Of Samref), Rowny Assets Limited (20%)",650,high,Mines invest in the grid,On-Grid,6500,149500,15.57,Join-venture with only private interests,NA,40km SE of Kolwezi,CA,4.7,equal tariff,Mainly Hydro Powered Generation,150 to 200 days,Infomine,Co-invests with Société Nationale d’Electricité (SNEL) to increase power availability as well as refurburish hydroelectric facility in Katanga Province by 2015,"Infomine, Company Website, Publications",No,Yes,Yes,TRUE
Mutanda,"Congo, Dem. Rep. of",Copper,Open-Pit,Producer,intermediate,Proven Reserves,47176,3.4,%,66400,tons,200000,tons,20,2010,2030,"Samref Congo Sprl (80%) (Glencore Majority Stakeholder Of Samref), Rowny Assets Limited (20%)",650,high,Mines invest in the grid,On-Grid,5000,550000,57.29,Join-venture with only private interests,NA,40km SE of Kolwezi,CA,4.7,equal tariff,Mainly Hydro Powered Generation,150 to 200 days,Infomine,Co-invests with Société Nationale d’Electricité (SNEL) to increase power availability as well as refurburish hydroelectric facility in Katanga Province by 2015,"Infomine, Company Website, Publications",No,Yes,Yes,TRUE
T17 (Katanga),"Congo, Dem. Rep. of",Copper,Open-Pit/Underground,Producer,intermediate,Indicated Reserves,9400,4.44,%,NA,NA,52000,tons,18,2007,2025,"Gécamines (25%), KATANGA MINING LIMITED (75%), GLENCORE INTERNATIONAL AG",NA,high,Mines invest in the grid,On-Grid,7000,364000,37.92,Joint- venture with State Equity,"(-10.7, 25.4333333)",NA,CA,4.7,equal tariff,Mainly Hydro Powered Generation,150 to 200 days,Infomine,LOM calculated using first year of production (open-pit is minimal production) and last year of projected underground mining. Co-invests with Société Nationale d’Electricité (SNEL) to increase power availability as well as refurburish hydroelectric facility in Katanga Province by 2015,"Infomine, Company Website",No,Yes,Yes,TRUE
T17 (Katanga),"Congo, Dem. Rep. of",Cobalt,Open-Pit/Underground,Producer,intermediate,Indicated Reserves,9400,0.65,%,NA,NA,6200,tons,18,2007,2025,"Gécamines (25%), KATANGA MINING LIMITED (75%), GLENCORE INTERNATIONAL AG",NA,high,Mines invest in the grid,On-Grid,7000,43400,4.52,Joint- venture with State Equity,"(-10.7, 25.4333333)",NA,CA,4.7,equal tariff,Mainly Hydro Powered Generation,150 to 200 days,Infomine,LOM calculated using first year of production (open-pit is minimal production) and last year of projected underground mining. Co-invests with Société Nationale d’Electricité (SNEL) to increase power availability as well as refurburish hydroelectric facility in Katanga Province by 2015,"Infomine, Company Website",No,Yes,Yes,TRUE
Tenke Fungurume,"Congo, Dem. Rep. of",Cobalt,Open-Pit,Producer,intermediate,Proven Reserves,48774,0.36,%,10908,tons,13000,tons,15,2009,2024,"Lundin Mining Corporation (25%), Gecamines (17%), Freeport-Mcmoran Copper & Gold Inc (58%)",475,high,Mines invest in the grid,On-Grid,6500,84500,8.8,Joint- venture with State Equity,"(-10.6333333, 26.2666667)",NA,CA,4.7,equal tariff,Mainly Hydro Powered Generation,150 to 200 days,Infomine,TFM has invested US$140 million in the refurbishment of two transformers at the N’Seke Power Station,"Infomine, Company Website",No,Yes,Yes,TRUE
Tenke Fungurume,"Congo, Dem. Rep. of",Copper,Open-Pit,Producer,intermediate,Proven Reserves,49796,2.77,%,144520,tons,200000,tons,15,2009,2024,"Lundin Mining Corporation (25%), Gecamines (17%), Freeport-Mcmoran Copper & Gold Inc (58%)",475,high,Mines invest in the grid,On-Grid,5000,1000000,104.17,Joint- venture with State Equity,"(-10.6333333, 26.2666667)",NA,CA,4.7,equal tariff,Mainly Hydro Powered Generation,150 to 200 days,Infomine,TFM has invested US$140 million in the refurbishment of two transformers at the N’Seke Power Station,"Infomine, Company Website",No,Yes,Yes,TRUE
Tilwezembe Mine,"Congo, Dem. Rep. of",Cobalt,Open-Pit,Past Producer,intermediate,Indicated Reserves,9500,0.6,%,15e3,tons,7100,tons,9,1999,2008,"Gécamines (25%), Katanga Mining Limited /  Glencore International Ag (75%)",NA,closed,Mines invest in the grid,On-Grid,6500,46150,4.81,Joint- venture with State Equity,"(-10.7833333, 25.7)",NA,CA,4.7,equal tariff,Mainly Hydro Powered Generation,150 to 200 days,USGS,Mine closed after Co and Cu prices fell. LOM calculated using last year of production but production could revamp. Co-invests with Société Nationale d’Electricité (SNEL) to increase power availability as well as refurburish hydroelectric facility in Katanga Province by 2015. Production : Max output before closure with current company,"Infomine, Company Website (sedar filing)",Yes,Yes,No,TRUE
Tilwezembe Mine,"Congo, Dem. Rep. of",Copper,Open-Pit,Past Producer,intermediate,Indicated Reserves,9500,1.89,%,19e3,tons,8500,tons,9,1999,2008,"Gécamines (25%), Katanga Mining Limited /  Glencore International Ag (75%)",NA,closed,Mines invest in the grid,On-Grid,5000,42500,4.43,Joint- venture with State Equity,"(-10.7833333, 25.7)",NA,CA,4.7,equal tariff,Mainly Hydro Powered Generation,150 to 200 days,USGS,Mine closed after Co and Cu prices fell. LOM calculated using last year of production but production could revamp; Co-invests with Société Nationale d’Electricité (SNEL) to increase power availability as well as refurburish hydroelectric facility in Katanga Province by 2015,"Infomine, Company Website (sedar filing)",Yes,Yes,No,TRUE
Asmara Project/Debarwa,Eritrea,Copper,Underground,Feasibility,intermediate,Indicated Reserves,48332,0.57,%,NA,NA,25900,tons,16,2013,2029,Sunridge Gold Corp,490,high,Self-supply --> Self-supply + CSR,On-Site Diesel,7000,181300,18.89,Sole Ownership by a private company,"(15.0666667, 38.8166667)",NA,EA,6.3,above tariff,Mainly Oil Fuelled Generation,0 to 50 days,Infomine,NA,NA,No,No,Yes,TRUE
Asmara Project/Debarwa,Eritrea,Silver,Underground,Feasibility,refined,Indicated Reserves,43013,10.92,grams,NA,NA,695000,ounce,15.25,2016,2031,Sunridge Gold Corp. (100%),489,high,Self-supply --> Self-supply + CSR,On-Site Diesel,9645,190,0.02,Sole Ownership by a private company,"(15.0666667, 38.8166667)",NA,EA,6.3,above tariff,Mainly Oil Fuelled Generation,0 to 50 days,Infomine,This data captures all of Asmara North Project (not just Debarwa). Proposed power for government at mine closure,"Infomine, Company Website",No,No,Yes,TRUE
Asmara Project/Debarwa,Eritrea,Gold,Underground,Feasibility,refined,Indicated Reserves,30168,0.5,grams,NA,NA,26000,ounce,15.25,2016,2031,Sunridge Gold Corp. (100%),489,high,Self-supply --> Self-supply + CSR,On-Site Diesel,45000000,33169,3.46,Sole Ownership by a private company,"(15.0666667, 38.8166667)",NA,EA,6.3,above tariff,Mainly Oil Fuelled Generation,0 to 50 days,Infomine,This data captures all of Asmara North Project (not just Debarwa). Proposed power for government at mine closure,"Infomine, Company Website",No,No,Yes,TRUE
Asmara Project/Debarwa,Eritrea,Zinc,Underground,Feasibility,intermediate,Indicated Reserves,43013,2,%,NA,NA,61800,tons,16,2013,2029,Sunridge Gold Corp,489,high,Self-supply --> Self-supply + CSR,On-Site Diesel,595,36771,3.83,Sole Ownership by a private company,"(15.0666667, 38.8166667)",NA,EA,6.3,above tariff,Mainly Oil Fuelled Generation,0 to 50 days,Infomine,2013: feasibility study finished,"Infomine, Mining Weekly, Company Website",No,No,Yes,TRUE
Bisha,Eritrea,Copper,Open-Pit,Producer,intermediate,Indicated Reserves,9561,1.85,%,NA,NA,80000,tons,13,2011,2024,"Nevsun Resources Ltd. (60%), Government (40%)",400,high,Self-supply,On-Site Diesel,5000,400000,41.67,Joint- venture with State Equity,"(15.5166667, 37.5)",NA,EA,6.3,above tariff,Mainly Oil Fuelled Generation,0 to 50 days,Infomine,Production at full capacity estimated using stated metal production planned and life of mine,"Infomine, Company Website",No,Yes,Yes,TRUE
Bisha,Eritrea,Gold,Open-Pit,Producer,refined,Indicated Reserves,12136,2.21,grams,102e5,grams,40000,ounce,13,2011,2024,"Nevsun Resources Ltd. (60%), Government (40%)",400,high,Self-supply,On-Site Diesel,25000000,221835,23.11,Joint- venture with State Equity,"(15.5166667, 37.5)",NA,EA,6.3,above tariff,Mainly Oil Fuelled Generation,0 to 50 days,Infomine,Production at full capacity estimated using stated metal production planned and life of mine,"Infomine, Company Website",No,Yes,Yes,TRUE
Moanda/ Eramet Manganese,Gabon,Manganese,Plant,Producer,smelted,None,NA,NA,NA,NA,NA,20000,tons,100,2014,NA,Eramet,200,high,Grid supply,On-Grid,2516,50320,5.24,Sole Ownership by a private company,"(-1.5, 13.25)",NA,CA,16.2,equal tariff,Mainly Hydro Powered Generation,0 to 50 days,Infomine,"The future Metallurgical Complex of COMILOG is a 67%-held ERAMET subsidiary based in Moanda (Gabon). The project consists of a silicomanganese plant with 65,000 ton annual capacity and a 20,000 ton per year manganese metal plant.
The Complex will benefit from the Gabonese government's development of a new hydroelectric plant as part of the upgrading of the national electricity grid. Capital expenditure for the Moanda Metallurgical Complex will total €200 million, if all the required conditions are met.",http://en.gabonews.com/economy/items/moanda-metallurgical-complex-1187.html,No,No,Yes,TRUE
Moanda/ Eramet Manganese,Gabon,Manganese,Open-Pit,Producer,crushed,None,NA,NA,NA,34e5,tons,3400000,tons,100,2005,2105,Eramet,90,high,Grid supply,On-Grid,16,54400,5.67,Sole Ownership by a private company,"(-1.5, 13.25)",NA,CA,16.2,equal tariff,Mainly Hydro Powered Generation,0 to 50 days,Infomine,NA,"Infomine, Company Website",No,Yes,Yes,TRUE
Mounana,Gabon,Manganese,Surface,Exploration,crushed,None,NA,NA,NA,NA,NA,200000,tons,50,NA,NA,BHP (60%)- Angloamerican (40%),NA,low,Self-supply --> Grid supply,"On-site Diesel, On-Grid",16,3200,0.33,NA,"(-1.4333333, 13.15)",NA,CA,16.2,above tariff,Mainly Hydro Powered Generation,0 to 50 days,WB,Hydroprojects seeems to be planned to serve the mines (EIA),WB,No,No,Yes,TRUE
Mounana,Gabon,Manganese,Surface,Exploration,smelted,None,NA,NA,NA,NA,NA,100000,tons,NA,NA,NA,BHP (60%)- Angloamerican (40%),NA,low,Self-supply --> Grid supply,"On-site Diesel, On-Grid",2516,251600,26.21,NA,"(-1.4333333, 13.15)",NA,CA,16.2,above tariff,Mainly Hydro Powered Generation,0 to 50 days,WB,NA,WB,No,No,Yes,TRUE
Lauzoua Mine,Ivory Coast,Manganese,Open-Pit,Prefeasibility,smelted,None,NA,NA,NA,NA,NA,50000,tons,NA,2017,NA,"China National Geological And Mining (39'%), Societe Pour Le Development Minier De La Cote D'ivoire (51% )- 10% Private Interest",NA,low,Grid supply,On-Grid,2516,125800,13.1,Joint- venture with State Equity,"(5.2666667, -5.5166667)",NA,WA,11.9,equal tariff,Mainly Gas Powered Generation,0 to 50 days,Infomine,Processing plant was to be built for ferro manganese - so the project was divided into 2 lines : 1 for crushed manganese that has already started and 1 for ferromanganese that hasn’t started - the ferromanganese project is considered of low probability,NA,No,No,Yes,TRUE
