<<<<<<< HEAD
Unit,multiplier,measure,quarter_end,value,project,year
$,Actual,By-product cash costs (per gold ounce),3/31/12,679,Marigold,2012
$,Million,Revenues (millions),3/31/12,45,Marigold,2012
$,Million,Depreciation and depletion (millions),3/31/12,4,Marigold,2012
$,Million,Earnings from operations (millions),3/31/12,22,Marigold,2012
$,Million,Expenditures on mining interests (millions),3/31/12,10,Marigold,2012
 ,Actual,Tonnes of ore mined,3/31/12,576500,El Sauzal,2012
 ,Actual,Tonnes of waste removed,3/31/12,2678900,El Sauzal,2012
 ,Actual,Tonnes of ore processed,3/31/12,516300,El Sauzal,2012
 ,Actual,Average mill head grade (Au grams/tonne),3/31/12,1.37,El Sauzal,2012
 ,Actual,Average gold recovery rate %,3/31/12,0.94,El Sauzal,2012
 ,Actual,Gold (ounces) produced,3/31/12,21400,El Sauzal,2012
 ,Actual,Gold (ounces) sold,3/31/12,20800,El Sauzal,2012
$,Actual,By-product cash costs (per gold ounce),3/31/12,605,El Sauzal,2012
$,Million,Revenues (millions),3/31/12,35,El Sauzal,2012
$,Million,Depreciation and depletion (millions),3/31/12,9,El Sauzal,2012
$,Million,Earnings from operations (millions),3/31/12,13,El Sauzal,2012
$,Million,Expenditures on mining interests (millions),3/31/12,3,El Sauzal,2012
 ,Actual,Tonnes of ore mined,3/31/12,716200,Wharf,2012
 ,Actual,Tonnes of ore processed,3/31/12,737900,Wharf,2012
 ,Actual,Average grade processed (Au grams/tonne),3/31/12,0.94,Wharf,2012
 ,Actual,Average gold recovery rate %,3/31/12,0.75,Wharf,2012
 ,Actual,Gold (ounces) produced,3/31/12,16600,Wharf,2012
 ,Actual,Gold (ounces) sold,3/31/12,18300,Wharf,2012
$,Actual,By-product cash costs (per gold ounce),3/31/12,663,Wharf,2012
$,Million,Revenues (millions),3/31/12,34,Wharf,2012
$,Million,Depreciation and depletion (millions),3/31/12,1,Wharf,2012
$,Million,Earnings from operations (millions),3/31/12,18,Wharf,2012
$,Million,Expenditures on mining interests (millions),3/31/12,1,Wharf,2012
 ,Actual,Gold (ounces) produced,6/30/12,559700,Total,2012
 ,Actual,Silver (ounces) produced,6/30/12,8184100,Total,2012
 ,Thousand,Copper (thousands of pounds) produced,6/30/12,31500,Total,2012
 ,Thousand,Lead (thousands of pounds) produced,6/30/12,45900,Total,2012
 ,Thousand,Zinc (thousands of pounds) produced,6/30/12,95000,Total,2012
 ,Actual,Gold (ounces) sold,6/30/12,514000,Total,2012
$,Actual,Average realized gold price (per ounce),6/30/12,1596,Total,2012
$,Actual,All-in sustaining costs $/oz (per gold ounce) (from continuing operations),6/30/12,1003,Total,2012
$,Actual,By-product cash costs $/oz (per gold ounce) (from continuing operations),6/30/12,370,Total,2012
$,Actual,Co-product cash costs $/oz (per gold ounce) (from continuing operations),6/30/12,619,Total,2012
$,Million,Revenues (GAAP),6/30/12,1052,Total,2012
$,Million,Net (Loss) Earnings,6/30/12,268,Total,2012
 ,Actual,Tonnes of ore mined,6/30/12,216000,Red Lake,2012
 ,Actual,Average mill head grade (Au grams/tonne),6/30/12,16.02,Red Lake,2012
 ,Actual,Average gold recovery rate %,6/30/12,0.96,Red Lake,2012
 ,Actual,Gold (ounces) produced,6/30/12,104000,Red Lake,2012
 ,Actual,Gold (ounces) sold,6/30/12,99200,Red Lake,2012
$,Actual,By-product cash costs (per gold ounce),6/30/12,568,Red Lake,2012
$,Million,Revenues (millions),6/30/12,158,Red Lake,2012
$,Million,Depreciation and depletion (millions),6/30/12,17,Red Lake,2012
$,Million,Earnings from operations (millions),6/30/12,82,Red Lake,2012
$,Million,Expenditures on mining interests (millions),6/30/12,72,Red Lake,2012
 ,Actual,Tonnes of ore milled,6/30/12,1023200,Porcupine,2012
 ,Actual,Average mill head grade (Au grams/tonne),6/30/12,2.4,Porcupine,2012
 ,Actual,Average gold recovery rate %,6/30/12,0.95,Porcupine,2012
 ,Actual,Gold (ounces) produced,6/30/12,74900,Porcupine,2012
 ,Actual,Gold (ounces) sold,6/30/12,75200,Porcupine,2012
$,Actual,By-product cash costs (per gold ounce),6/30/12,674,Porcupine,2012
$,Million,Revenues (millions),6/30/12,121,Porcupine,2012
$,Million,Depreciation and depletion (millions),6/30/12,14,Porcupine,2012
$,Million,Earnings from operations (millions),6/30/12,53,Porcupine,2012
$,Million,Expenditures on mining interests (millions),6/30/12,27,Porcupine,2012
 ,Actual,Tonnes of ore milled,6/30/12,308100,Musselwhite,2012
 ,Actual,Average mill head grade (Au grams/tonne),6/30/12,6,Musselwhite,2012
 ,Actual,Average gold recovery rate %,6/30/12,0.96,Musselwhite,2012
 ,Actual,Gold (ounces) produced,6/30/12,56500,Musselwhite,2012
 ,Actual,Gold (ounces) sold,6/30/12,58100,Musselwhite,2012
$,Actual,By-product cash costs (per gold ounce),6/30/12,819,Musselwhite,2012
$,Million,Revenues (millions),6/30/12,93,Musselwhite,2012
$,Million,Depreciation and depletion (millions),6/30/12,11,Musselwhite,2012
$,Million,Earnings from operations (millions),6/30/12,32,Musselwhite,2012
$,Million,Expenditures on mining interests (millions),6/30/12,25,Musselwhite,2012
 ,Actual,Tonnes of ore mined,6/30/12,11310600,Penasquito,2012
 ,Actual,Tonnes of waste removed,6/30/12,30192100,Penasquito,2012
 ,Actual,Average head grade (Au grams/tonne),6/30/12,0.48,Penasquito,2012
 ,Actual,Average head grade (Ag grams/tonne),6/30/12,28.31,Penasquito,2012
 ,Actual,Average head grade (Pb%),6/30/12,0.0031,Penasquito,2012
 ,Actual,Average head grade (Zn%),6/30/12,0.0068,Penasquito,2012
 ,Actual,Sulphide Ore - Tonnes of ore milled,6/30/12,9586800,Penasquito,2012
 ,Actual,Gold average recovery rate (%),6/30/12,0.7,Penasquito Sulphide,2012
 ,Actual,Silver average recovery rate (%),6/30/12,0.79,Penasquito Sulphide,2012
 ,Actual,Lead average recovery rate (%),6/30/12,0.76,Penasquito Sulphide,2012
 ,Actual,Zinc average recovery rate (%),6/30/12,0.78,Penasquito Sulphide,2012
 ,Actual,Gold (ounces) produced,6/30/12,103800,Penasquito,2012
 ,Actual,Silver (ounces) produced,6/30/12,6570700,Penasquito,2012
 ,Thousand,Lead (thousands of pounds) produced,6/30/12,45900,Penasquito,2012
 ,Thousand,Zinc (thousands of pounds) produced,6/30/12,95000,Penasquito,2012
 ,Actual,Gold (ounces) sold,6/30/12,89300,Penasquito,2012
 ,Actual,Silver (ounces) sold,6/30/12,5478900,Penasquito,2012
 ,Thousand,Lead (thousands of pounds) sold,6/30/12,42200,Penasquito,2012
 ,Thousand,Zinc (thousands of pounds) sold,6/30/12,90800,Penasquito,2012
$,Actual,By-product cash costs (per gold ounce),6/30/12,-425,Penasquito,2012
$,Actual,General admistrative cost per tonne,6/30/12,1.52,Penasquito,2012
$,Million,Revenues (millions),6/30/12,337,Penasquito,2012
$,Million,Depreciation and depletion (millions),6/30/12,48,Penasquito,2012
$,Million,Earnings (Loss) from operations (millions),6/30/12,130,Penasquito,2012
$,Million,Expenditures on mining interests (millions),6/30/12,71,Penasquito,2012
 ,Actual,Tonnes of ore mined,6/30/12,6587200,Los Filos,2012
 ,Actual,Tonnes of waste removed,6/30/12,9069900,Los Filos,2012
 ,Actual,Ratio of waste to ore,6/30/12,1.4,Los Filos,2012
 ,Actual,Tonnes of ore processed,6/30/12,6693300,Los Filos,2012
 ,Actual,Average grade processed (Au grams/tonne),6/30/12,0.69,Los Filos,2012
 ,Actual,Average gold recovery rate %,6/30/12,0.47,Los Filos,2012
 ,Actual,Gold (ounces) produced,6/30/12,85200,Los Filos,2012
 ,Actual,Gold (ounces) sold,6/30/12,84700,Los Filos,2012
$,Actual,By-product cash costs (per gold ounce),6/30/12,535,Los Filos,2012
$,Million,Revenues (millions),6/30/12,136,Los Filos,2012
$,Million,Depreciation and depletion (millions),6/30/12,14,Los Filos,2012
$,Million,Earnings from operations (millions),6/30/12,76,Los Filos,2012
$,Million,Expenditures on mining interests (millions),6/30/12,27,Los Filos,2012
 ,Actual,Tonnes of ore milled,6/30/12,487600,Marlin,2012
 ,Actual,Average mill head grade (Au grams/tonne),6/30/12,3.75,Marlin,2012
 ,Actual,Average mill head grade (Ag grams/tonne),6/30/12,113,Marlin,2012
 ,Actual,Average gold recovery rate %,6/30/12,0.96,Marlin,2012
 ,Actual,Average silver recovery rate %,6/30/12,0.91,Marlin,2012
 ,Actual,Gold (ounces) produced,6/30/12,56700,Marlin,2012
 ,Actual,Silver (ounces) produced,6/30/12,1613400,Marlin,2012
 ,Actual,Gold (ounces) sold,6/30/12,58300,Marlin,2012
 ,Actual,Silver (ounces) sold,6/30/12,1660500,Marlin,2012
$,Actual,By-product cash costs (per gold ounce),6/30/12,20,Marlin,2012
$,Million,Revenues (millions),6/30/12,140,Marlin,2012
$,Million,Depreciation and depletion (millions),6/30/12,25,Marlin,2012
$,Million,Earnings from operations (millions),6/30/12,66,Marlin,2012
$,Million,Expenditures on mining interests (millions),6/30/12,23,Marlin,2012
 ,Actual,Tonnes of ore mined,6/30/12,3270300,Alumbrera,2012
 ,Actual,Tonnes of waste removed,6/30/12,6233100,Alumbrera,2012
 ,Actual,Ratio of waste to ore,6/30/12,1.9,Alumbrera,2012
 ,Actual,Tonnes of ore milled,6/30/12,3656500,Alumbrera,2012
 ,Actual,Average mill head grade (Au grams/tonne),6/30/12,0.43,Alumbrera,2012
 ,Actual,Average mill head grade (Copper %),6/30/12,0.0045,Alumbrera,2012
 ,Actual,Average gold recovery rate %,6/30/12,0.71,Alumbrera,2012
 ,Actual,Average copper recovery rate %,6/30/12,0.86,Alumbrera,2012
 ,Actual,Gold (ounces) produced,6/30/12,36700,Alumbrera,2012
 ,Thousand,Copper (thousands of pounds) produced,6/30/12,31500,Alumbrera,2012
 ,Actual,Gold (ounces) sold,6/30/12,9700,Alumbrera,2012
 ,Thousand,Copper (thousands of pounds) sold,6/30/12,6800,Alumbrera,2012
$,Actual,By-product cash costs (per gold ounce),6/30/12,-207,Alumbrera,2012
$,Million,Revenues (millions),6/30/12,32,Alumbrera,2012
$,Million,Depreciation and depletion (millions),6/30/12,9,Alumbrera,2012
$,Million,Earnings from operations (millions),6/30/12,3,Alumbrera,2012
$,Million,Expenditures on mining interests (millions),6/30/12,4,Alumbrera,2012
 ,Actual,Tonnes of ore mined,6/30/12,1907000,Marigold,2012
 ,Actual,Tonnes of waste removed,6/30/12,7034400,Marigold,2012
 ,Actual,Tonnes of ore processed,6/30/12,1907000,Marigold,2012
 ,Actual,Average grade processed (Au grams/tonne),6/30/12,0.43,Marigold,2012
 ,Actual,Average gold recovery rate %,6/30/12,0.73,Marigold,2012
 ,Actual,Gold (ounces) produced,6/30/12,18900,Marigold,2012
 ,Actual,Gold (ounces) sold,6/30/12,18000,Marigold,2012
$,Actual,By-product cash costs (per gold ounce),6/30/12,726,Marigold,2012
$,Million,Revenues (millions),6/30/12,29,Marigold,2012
$,Million,Depreciation and depletion (millions),6/30/12,3,Marigold,2012
$,Million,Earnings from operations (millions),6/30/12,13,Marigold,2012
$,Million,Expenditures on mining interests (millions),6/30/12,10,Marigold,2012
 ,Actual,Tonnes of ore mined,6/30/12,568600,El Sauzal,2012
 ,Actual,Tonnes of waste removed,6/30/12,2802700,El Sauzal,2012
 ,Actual,Tonnes of ore processed,6/30/12,539500,El Sauzal,2012
 ,Actual,Average mill head grade (Au grams/tonne),6/30/12,1.44,El Sauzal,2012
 ,Actual,Average gold recovery rate %,6/30/12,0.94,El Sauzal,2012
 ,Actual,Gold (ounces) produced,6/30/12,23600,El Sauzal,2012
 ,Actual,Gold (ounces) sold,6/30/12,22100,El Sauzal,2012
$,Actual,By-product cash costs (per gold ounce),6/30/12,538,El Sauzal,2012
$,Million,Revenues (millions),6/30/12,36,El Sauzal,2012
$,Million,Depreciation and depletion (millions),6/30/12,9,El Sauzal,2012
$,Million,Earnings from operations (millions),6/30/12,13,El Sauzal,2012
$,Million,Expenditures on mining interests (millions),6/30/12,3,El Sauzal,2012
 ,Actual,Tonnes of ore mined,6/30/12,1300000,Wharf,2012
 ,Actual,Tonnes of ore processed,6/30/12,853600,Wharf,2012
 ,Actual,Average grade processed (Au grams/tonne),6/30/12,0.7,Wharf,2012
 ,Actual,Average gold recovery rate %,6/30/12,0.78,Wharf,2012
 ,Actual,Gold (ounces) produced,6/30/12,18300,Wharf,2012
 ,Actual,Gold (ounces) sold,6/30/12,17400,Wharf,2012
$,Actual,By-product cash costs (per gold ounce),6/30/12,602,Wharf,2012
$,Million,Revenues (millions),6/30/12,31,Wharf,2012
$,Million,Depreciation and depletion (millions),6/30/12,1,Wharf,2012
$,Million,Earnings from operations (millions),6/30/12,17,Wharf,2012
$,Million,Expenditures on mining interests (millions),6/30/12,3,Wharf,2012
 ,Actual,Gold (ounces) produced,9/30/12,569900,Total,2012
 ,Actual,Silver (ounces) produced,9/30/12,8509300,Total,2012
 ,Thousand,Copper (thousands of pounds) produced,9/30/12,31200,Total,2012
 ,Thousand,Lead (thousands of pounds) produced,9/30/12,39400,Total,2012
 ,Thousand,Zinc (thousands of pounds) produced,9/30/12,98400,Total,2012
 ,Actual,Gold (ounces) sold,9/30/12,594800,Total,2012
$,Actual,Average realized gold price (per ounce),9/30/12,1687,Total,2012
$,Actual,All-in sustaining costs $/oz (per gold ounce) (from continuing operations),9/30/12,774,Total,2012
$,Actual,By-product cash costs $/oz (per gold ounce) (from continuing operations),9/30/12,220,Total,2012
$,Actual,Co-product cash costs $/oz (per gold ounce) (from continuing operations),9/30/12,660,Total,2012
$,Million,Revenues (GAAP),9/30/12,1245,Total,2012
$,Million,Net (Loss) Earnings,9/30/12,498,Total,2012
 ,Actual,Tonnes of ore mined,9/30/12,208000,Red Lake,2012
 ,Actual,Average mill head grade (Au grams/tonne),9/30/12,19.18,Red Lake,2012
 ,Actual,Average gold recovery rate %,9/30/12,0.96,Red Lake,2012
 ,Actual,Gold (ounces) produced,9/30/12,121200,Red Lake,2012
 ,Actual,Gold (ounces) sold,9/30/12,124200,Red Lake,2012
$,Actual,All-in sustaining costs (per gold ounce),9/30/12,974,Red Lake,2012
$,Actual,By-product cash costs (per gold ounce),9/30/12,535,Red Lake,2012
$,Million,Revenues (millions),9/30/12,207,Red Lake,2012
$,Million,Depreciation and depletion (millions),9/30/12,21,Red Lake,2012
$,Million,Earnings from operations (millions),9/30/12,110,Red Lake,2012
$,Million,Expenditures on mining interests (millions),9/30/12,68,Red Lake,2012
 ,Actual,Tonnes of ore milled,9/30/12,1037300,Porcupine,2012
 ,Actual,Average mill head grade (Au grams/tonne),9/30/12,1.67,Porcupine,2012
 ,Actual,Average gold recovery rate %,9/30/12,0.93,Porcupine,2012
 ,Actual,Gold (ounces) produced,9/30/12,53100,Porcupine,2012
 ,Actual,Gold (ounces) sold,9/30/12,52000,Porcupine,2012
$,Actual,All-in sustaining costs (per ounce),9/30/12,1381,Porcupine,2012
$,Actual,By-product cash costs (per gold ounce),9/30/12,929,Porcupine,2012
$,Million,Revenues (millions),9/30/12,87,Porcupine,2012
$,Million,Depreciation and depletion (millions),9/30/12,11,Porcupine,2012
$,Million,Earnings from operations (millions),9/30/12,24,Porcupine,2012
$,Million,Expenditures on mining interests (millions),9/30/12,29,Porcupine,2012
 ,Actual,Tonnes of ore milled,9/30/12,339500,Musselwhite,2012
 ,Actual,Average mill head grade (Au grams/tonne),9/30/12,6.15,Musselwhite,2012
 ,Actual,Average gold recovery rate %,9/30/12,0.96,Musselwhite,2012
 ,Actual,Gold (ounces) produced,9/30/12,65500,Musselwhite,2012
 ,Actual,Gold (ounces) sold,9/30/12,64600,Musselwhite,2012
$,Actual,All-in sustaining costs (per ounce),9/30/12,1236,Musselwhite,2012
$,Actual,By-product cash costs (per gold ounce),9/30/12,699,Musselwhite,2012
$,Million,Revenues (millions),9/30/12,107,Musselwhite,2012
$,Million,Depreciation and depletion (millions),9/30/12,12,Musselwhite,2012
$,Million,Earnings from operations (millions),9/30/12,47,Musselwhite,2012
$,Million,Expenditures on mining interests (millions),9/30/12,33,Musselwhite,2012
 ,Actual,Tonnes of ore mined,9/30/12,11463600,Penasquito,2012
 ,Actual,Tonnes of waste removed,9/30/12,28044500,Penasquito,2012
 ,Actual,Average head grade (Au grams/tonne),9/30/12,0.6,Penasquito,2012
 ,Actual,Average head grade (Ag grams/tonne),9/30/12,31.71,Penasquito,2012
 ,Actual,Average head grade (Pb%),9/30/12,0.0026,Penasquito,2012
 ,Actual,Average head grade (Zn%),9/30/12,0.007,Penasquito,2012
 ,Actual,Sulphide Ore - Tonnes of ore milled,9/30/12,9339800,Penasquito,2012
 ,Actual,Gold average recovery rate (%),9/30/12,0.73,Penasquito Sulphide,2012
 ,Actual,Silver average recovery rate (%),9/30/12,0.79,Penasquito Sulphide,2012
 ,Actual,Lead average recovery rate (%),9/30/12,0.78,Penasquito Sulphide,2012
 ,Actual,Zinc average recovery rate (%),9/30/12,0.8,Penasquito Sulphide,2012
 ,Actual,Gold (ounces) produced,9/30/12,126000,Penasquito,2012
 ,Actual,Silver (ounces) produced,9/30/12,6978400,Penasquito,2012
 ,Thousand,Lead (thousands of pounds) produced,9/30/12,39400,Penasquito,2012
 ,Thousand,Zinc (thousands of pounds) produced,9/30/12,98400,Penasquito,2012
 ,Actual,Gold (ounces) sold,9/30/12,132700,Penasquito,2012
 ,Actual,Silver (ounces) sold,9/30/12,7483300,Penasquito,2012
 ,Thousand,Lead (thousands of pounds) sold,9/30/12,41700,Penasquito,2012
 ,Thousand,Zinc (thousands of pounds) sold,9/30/12,96600,Penasquito,2012
$,Actual,All-in sustaining costs (per ounce),9/30/12,114,Penasquito,2012
$,Actual,By-product cash costs (per gold ounce),9/30/12,-608,Penasquito,2012
$,Actual,General admistrative cost per tonne,9/30/12,1.9,Penasquito,2012
$,Million,Revenues (millions),9/30/12,519,Penasquito,2012
$,Million,Depreciation and depletion (millions),9/30/12,65,Penasquito,2012
$,Million,Earnings (Loss) from operations (millions),9/30/12,245,Penasquito,2012
$,Million,Expenditures on mining interests (millions),9/30/12,48,Penasquito,2012
 ,Actual,Tonnes of ore mined,9/30/12,7030400,Los Filos,2012
 ,Actual,Tonnes of waste removed,9/30/12,10564100,Los Filos,2012
 ,Actual,Ratio of waste to ore,9/30/12,1.5,Los Filos,2012
 ,Actual,Tonnes of ore processed,9/30/12,7066600,Los Filos,2012
 ,Actual,Average grade processed (Au grams/tonne),9/30/12,0.65,Los Filos,2012
 ,Actual,Average gold recovery rate %,9/30/12,0.48,Los Filos,2012
 ,Actual,Gold (ounces) produced,9/30/12,79700,Los Filos,2012
 ,Actual,Gold (ounces) sold,9/30/12,79200,Los Filos,2012
$,Actual,All-in sustaining costs (per ounce),9/30/12,839,Los Filos,2012
$,Actual,By-product cash costs (per gold ounce),9/30/12,575,Los Filos,2012
$,Million,Revenues (millions),9/30/12,131,Los Filos,2012
$,Million,Depreciation and depletion (millions),9/30/12,14,Los Filos,2012
